epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,577.08,1.52914,2.11452,1.40473,0.61108,0.55586,0.61545,0.30881,1.40048,2.23636,1.36951,0.000550569,0.000550569,0.000550569
1,671.156,1.52914,2.11452,1.40473,0.61108,0.55586,0.61545,0.30881,1.40048,2.23636,1.36951,0.000550569,0.000550569,0.000550569
2,1293.63,1.36277,1.40755,1.30031,0.72936,0.74923,0.80687,0.41716,1.49332,1.53078,1.46469,0.00109528,0.00109528,0.00109528
2,2376.31,1.36277,1.40755,1.30031,0.72936,0.74923,0.80687,0.41716,1.49332,1.53078,1.46469,0.00109528,0.00109528,0.00109528
3,3520.87,1.3622,1.29447,1.31613,0.7842,0.71499,0.80922,0.4385,1.43723,1.42925,1.46662,0.001629,0.001629,0.001629
3,3836.21,1.3622,1.29447,1.31613,0.7842,0.71499,0.80922,0.4385,1.43723,1.42925,1.46662,0.001629,0.001629,0.001629
4,4981.94,1.32457,1.17647,1.29328,0.79552,0.70973,0.81483,0.48952,1.34655,1.41876,1.43451,0.00161749,0.00161749,0.00161749
4,5282.76,1.32457,1.17647,1.29328,0.79552,0.70973,0.81483,0.48952,1.34655,1.41876,1.43451,0.00161749,0.00161749,0.00161749
5,6336.9,1.32272,1.09563,1.30333,0.80231,0.81718,0.876,0.55564,1.26261,1.09442,1.36279,0.00160099,0.00160099,0.00160099
5,6574.16,1.32272,1.09563,1.30333,0.80231,0.81718,0.876,0.55564,1.26261,1.09442,1.36279,0.00160099,0.00160099,0.00160099
6,7570.28,1.30389,1.03268,1.28888,0.78725,0.78312,0.84775,0.47534,1.38944,1.12026,1.44922,0.00158448,0.00158448,0.00158448
6,7856.06,1.30389,1.03268,1.28888,0.78725,0.78312,0.84775,0.47534,1.38944,1.12026,1.44922,0.00158448,0.00158448,0.00158448
7,27022.6,1.29332,0.99284,1.28534,0.83348,0.81858,0.88383,0.55909,1.27283,0.98128,1.38545,0.00156798,0.00156798,0.00156798
7,45198.7,1.29332,0.99284,1.28534,0.83348,0.81858,0.88383,0.55909,1.27283,0.98128,1.38545,0.00156798,0.00156798,0.00156798
8,59668.6,1.306,0.97844,1.30297,0.8234,0.83784,0.87114,0.51082,1.3237,0.99878,1.38283,0.00155148,0.00155148,0.00155148
8,59708,1.306,0.97844,1.30297,0.8234,0.83784,0.87114,0.51082,1.3237,0.99878,1.38283,0.00155148,0.00155148,0.00155148
9,60299.5,1.28243,0.94402,1.28337,0.82309,0.81497,0.87999,0.53862,1.31865,1.01068,1.39817,0.00153497,0.00153497,0.00153497
9,60373,1.28243,0.94402,1.28337,0.82309,0.81497,0.87999,0.53862,1.31865,1.01068,1.39817,0.00153497,0.00153497,0.00153497
10,60973.1,1.2693,0.91557,1.27792,0.83126,0.83445,0.89867,0.54225,1.31867,0.91467,1.4086,0.00151847,0.00151847,0.00151847
10,61046.9,1.2693,0.91557,1.27792,0.83126,0.83445,0.89867,0.54225,1.31867,0.91467,1.4086,0.00151847,0.00151847,0.00151847
